Ign,Team,ACS,Matches,Rnd,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMax,K,D,A,FK,FD
vicious,KOVA Esports,210,16,343,1.06,0.74,135.3,0.71,0.29,0.06,0.06,0.22,0.18,28,245,231,99,22,21
tsack,Team Queso,210,12,238,1.14,0.76,134.3,0.75,0.28,0.08,0.07,0.32,0.18,21,179,157,67,18,17
qRaxs,Futbolist,210,19,395,1.13,0.73,136.9,0.75,0.29,0.08,0.05,0.32,0.15,30,297,263,113,33,20
Docent,Galatasaray Esports,210,18,412,0.97,0.68,139,0.71,0.28,0.07,0.1,0.26,0.08,26,293,303,114,27,41
Hyperzxz,H2O,209,7,135,0.85,0.64,141.5,0.68,0.2,0.15,0.13,0.24,0.11,24,92,108,27,20,18
MrFaliN,Futbolist,209,19,395,1.01,0.75,134.2,0.69,0.32,0.1,0.09,0.23,0.06,24,272,269,128,39,34
APO,Mandatory,208,14,312,1.04,0.69,137,0.74,0.22,0.1,0.08,0.32,0.08,25,230,222,70,31,25
Leare,Team Queso,208,12,238,0.98,0.61,131.8,0.74,0.11,0.18,0.21,0.28,0.12,20,175,178,27,43,49
gloomy,Fenerbah̤e Esports,208,4,90,0.84,0.62,138.6,0.68,0.12,0.14,0.22,0.28,0.08,23,61,73,11,13,20
lauress,Fire Flux Esports,208,22,460,1.24,0.79,138.4,0.76,0.28,0.08,0.08,0.32,0.18,33,348,281,131,37,35
sturNNcya,Galakticos,208,18,390,1.02,0.68,137.2,0.73,0.16,0.08,0.08,0.26,0.12,32,286,280,61,33,33
TheNightChe,Team Lixa,208,21,446,0.94,0.66,136.2,0.73,0.23,0.09,0.1,0.33,0.13,25,325,345,104,40,46
DarkLight,beGenius ESC,207,18,383,1.1,0.74,137.5,0.74,0.32,0.06,0.07,0.26,0.13,28,285,258,121,24,25
XMS,TENSTAR,206,24,468,1.17,0.75,139.8,0.75,0.24,0.07,0.05,0.3,0.17,24,351,300,114,34,22
